,order_number,order_date,customer_name,channel,product_name,order_quantity,unit_price,revenue,total_unit_cost,state,county,state_name,region,lat,lon,budget,total_cost,profit,profit_margin_pct,order_month,month_name
46389,SO - 0007191,2017-01-01,Eayo Company,Distributor,Product 5,9,1078.7,9708.300000000001,722.729,GA,Clarke County,Georgia,South,33.95219,-83.36715,3925424.5420000004,6504.561000000001,3203.7390000000005,33.0,2017-01,1
46390,SO - 0010754,2017-01-01,Pacific Ltd,Distributor,Product 6,9,1963.1000000000001,17667.9,1629.373,FL,Hillsborough County,Florida,South,27.94752,-82.45843,1672229.416,14664.357,3003.5430000000015,17.000000000000007,2017-01,1
46391,SO - 000378,2017-01-01,Jayo Company,Wholesale,Product 13,11,924.6,10170.6,536.268,OH,Stark County,Ohio,Midwest,40.8686,-81.36892,3720639.645,5898.948,4271.652,42.0,2017-01,1
46392,SO - 0002059,2017-01-01,Feednation Corp,Wholesale,Product 3,9,1018.4,9165.6,407.36,TX,Dallas County,Texas,South,32.58986,-96.85695,2642352.432,3666.2400000000002,5499.360000000001,60.00000000000001,2017-01,1
46393,SO - 0009193,2017-01-01,NARS Group,Distributor,Product 3,5,891.1,4455.5,730.702,FL,Manatee County,Florida,South,27.49893,-82.57482,2642352.432,3653.51,801.9899999999998,17.999999999999993,2017-01,1
46394,SO - 0002350,2017-01-01,Johnson Ltd,Distributor,Product 13,12,884.4,10612.8,486.42,CT,New Haven County,Connecticut,Northeast,41.5585,-73.03668,3720639.645,5837.04,4775.759999999999,44.99999999999999,2017-01,1
46395,SO - 0004688,2017-01-01,Flipstorm Group,Wholesale,Product 25,8,1038.5,8308.0,633.485,CA,Riverside County,California,West,33.72835,-117.14642,5342315.484,5067.88,3240.12,39.0,2017-01,1
46396,SO - 0005205,2017-01-01,CARDINAL Group,Wholesale,Product 8,11,2378.5,26163.5,1403.3149999999998,OK,Wagoner County/Tulsa County,Oklahoma,South,36.03653,-95.781,1085037.3290000001,15436.464999999998,10727.035000000002,41.00000000000001,2017-01,1
46397,SO - 0007853,2017-01-01,Twimbo Company,Distributor,Product 16,8,1018.4,8147.2,448.096,AR,Pulaski County,Arkansas,South,34.74648,-92.28959,2062061.144,3584.768,4562.432,55.99999999999999,2017-01,1
46398,SO - 0007956,2017-01-01,Aldi Ltd,Distributor,Product 25,9,877.7,7899.3,737.268,SD,Pennington County,South Dakota,Midwest,44.08054,-103.23101,5342315.484,6635.412,1263.888,15.999999999999998,2017-01,1
46399,SO - 0009514,2017-01-01,Camido Company,Wholesale,Product 19,11,904.5,9949.5,587.9250000000001,GA,Muscogee County,Georgia,South,32.46098,-84.98771,1645841.6,6467.175000000001,3482.324999999999,34.999999999999986,2017-01,1
46400,SO - 0008126,2017-01-01,Mylan Corp,Wholesale,Product 4,8,3276.3,26210.4,2588.277,IL,DuPage County,Illinois,Midwest,41.86177,-87.9761,2885560.824,20706.216,5504.184000000001,21.000000000000004,2017-01,1
46401,SO - 0008167,2017-01-01,Dynazzy Company,Distributor,Product 14,5,3892.7000000000003,19463.5,3075.233,CA,Los Angeles County,California,West,33.93029,-118.21146,4028698.4090000005,15376.165,4087.334999999999,20.999999999999996,2017-01,1
46402,SO - 000298,2017-01-02,Neutrogena Ltd,Distributor,Product 19,8,3899.4,31195.2,2027.688,IL,Sangamon County,Illinois,Midwest,39.79106,-89.64457,1645841.6,16221.504,14973.696,48.0,2017-01,1
46403,SO - 0002724,2017-01-02,Epic Group,Wholesale,Product 2,5,234.5,1172.5,117.25,FL,Miami-Dade County,Florida,South,25.79065,-80.13005,3050087.565,586.25,586.25,50.0,2017-01,1
46404,SO - 0002908,2017-01-02,Remedy Ltd,Export,Product 6,10,1072.0,10720.0,428.8,WY,Natrona County,Wyoming,West,42.86663,-106.31308,1672229.416,4288.0,6432.0,60.0,2017-01,1
46405,SO - 0004368,2017-01-02,Bluezoom Group,Distributor,Product 25,8,3839.1,30712.8,1996.332,MI,Oakland County,Michigan,Midwest,42.56923,-83.38727,5342315.484,15970.656,14742.143999999998,48.0,2017-01,1
46406,SO - 0005705,2017-01-02,Centizu Company,Wholesale,Product 11,10,1963.1000000000001,19631.0,863.764,WI,Outagamie County/Calumet County/Winnebago County,Wisconsin,Midwest,44.27795,-88.38826,1230458.484,8637.64,10993.36,56.00000000000001,2017-01,1
46407,SO - 0007404,2017-01-02,Oba Company,Wholesale,Product 26,9,5936.2,53425.799999999996,3561.72,NC,Chatham County/Wake County,North Carolina,South,35.78088,-78.81327,5685138.2700000005,32055.48,21370.319999999996,40.0,2017-01,1
46408,SO - 0008748,2017-01-02,Colgate-Pa Group,Export,Product 7,7,2338.3,16368.100000000002,1028.852,VA,Richmond city,Virginia,South,37.55376,-77.46026,889737.555,7201.964000000001,9166.136000000002,56.00000000000001,2017-01,1
46409,SO - 0002435,2017-01-02,Bath Group,Wholesale,Product 5,8,1031.8,8254.4,443.674,CA,Sacramento County,California,West,38.61713,-121.32828,3925424.5420000004,3549.392,4705.008,56.99999999999999,2017-01,1
46410,SO - 0004041,2017-01-02,Deseret Group,Wholesale,Product 4,5,2592.9,12964.5,1218.663,VA,Prince William County,Virginia,South,38.63706,-77.31109,2885560.824,6093.3150000000005,6871.1849999999995,52.99999999999999,2017-01,1
46411,SO - 0004738,2017-01-02,Cogidoo Company,Wholesale,Product 20,7,837.5,5862.5,644.875,CA,Los Angeles County,California,West,34.57943,-118.11646,2067108.1199999999,4514.125,1348.375,23.0,2017-01,1
46412,SO - 0005552,2017-01-02,Vimbo Company,Export,Product 21,7,3189.2000000000003,22324.4,2647.036,MI,Macomb County,Michigan,Midwest,42.49982,-83.00549,959899.2180000001,18529.252,3795.148000000001,17.000000000000004,2017-01,1
46413,SO - 0008746,2017-01-02,Cantrell Company,Distributor,Product 16,10,2244.5,22445.0,920.2449999999999,WA,Spokane County,Washington,West,47.65878,-117.42605,2062061.144,9202.449999999999,13242.550000000001,59.00000000000001,2017-01,1
46414,SO - 0009209,2017-01-02,Twimbo Company,Wholesale,Product 25,12,207.70000000000002,2492.4,85.157,NY,Queens County,New York,Northeast,40.75,-73.86667,5342315.484,1021.884,1470.516,59.0,2017-01,1
46415,SO - 0009420,2017-01-02,CLINIQUE Ltd,Wholesale,Product 12,5,5286.3,26431.5,3013.191,CA,Monterey County,California,West,36.67774,-121.6555,1356976.996,15065.954999999998,11365.545000000002,43.00000000000001,2017-01,1
46416,SO - 000962,2017-01-02,Neutrogena Ltd,Wholesale,Product 4,9,837.5,7537.5,644.875,FL,Palm Beach County,Florida,South,26.71534,-80.05337,2885560.824,5803.875,1733.625,23.0,2017-01,1
46417,SO - 0001665,2017-01-02,Golden Corp,Export,Product 16,6,824.1,4944.6,659.2800000000001,IN,Marion County,Indiana,Midwest,39.87632,-86.14291,2062061.144,3955.6800000000003,988.9200000000001,20.0,2017-01,1
46418,SO - 0001933,2017-01-02,Cogilith Group,Distributor,Product 13,6,254.6,1527.6,216.41,CA,Orange County,California,West,33.66946,-117.82311,3720639.645,1298.46,229.13999999999987,14.999999999999995,2017-01,1
46419,SO - 0003799,2017-01-02,Ascend Ltd,Distributor,Product 15,6,1045.2,6271.200000000001,616.668,IN,Marion County,Indiana,Midwest,39.77186,-86.26094,3299478.315,3700.008,2571.192000000001,41.00000000000001,2017-01,1
46420,SO - 0004235,2017-01-02,SAFEWAY Ltd,Wholesale,Product 8,9,4006.6,36059.4,1802.97,IL,Cook County,Illinois,Midwest,42.04114,-87.69006,1085037.3290000001,16226.73,19832.670000000002,55.00000000000001,2017-01,1
46421,SO - 0005690,2017-01-02,Zoonoodle Ltd,Wholesale,Product 13,5,804.0,4020.0,683.4,FL,Orange County,Florida,South,28.5641,-81.2114,3720639.645,3417.0,603.0,15.0,2017-01,1
46422,SO - 0009993,2017-01-02,Skyvu Group,Wholesale,Product 1,11,3872.6,42598.6,1665.2179999999998,CA,Los Angeles County,California,West,33.96085,-118.04173,3016489.209,18317.397999999997,24281.202,57.00000000000001,2017-01,1
46423,SO - 0001424,2017-01-02,Nlounge Ltd,Distributor,Product 19,7,1688.4,11818.800000000001,844.2,GA,Muscogee County,Georgia,South,32.46098,-84.98771,1645841.6,5909.400000000001,5909.400000000001,50.0,2017-01,1
46424,SO - 0003399,2017-01-02,Linklinks Ltd,Distributor,Product 4,9,1072.0,9648.0,814.72,PA,Bucks County,Pennsylvania,Northeast,40.10622,-74.94364,2885560.824,7332.4800000000005,2315.5199999999995,23.999999999999996,2017-01,1
46425,SO - 0005388,2017-01-02,CARDINAL Group,Export,Product 18,5,167.5,837.5,105.525,KS,Wyandotte County,Kansas,Midwest,39.11417,-94.62746,2309499.045,527.625,309.875,37.0,2017-01,1
46426,SO - 0006164,2017-01-02,SAFEWAY Ltd,Distributor,Product 12,10,3979.8,39798.0,3303.234,FL,Hillsborough County,Florida,South,28.01057,-82.57732,1356976.996,33032.34,6765.6600000000035,17.00000000000001,2017-01,1
46427,SO - 0007186,2017-01-02,Chatterbri Ltd,Distributor,Product 14,6,2251.2000000000003,13507.2,1508.3040000000003,MA,Hampden County,Massachusetts,Northeast,42.1487,-72.60787,4028698.4090000005,9049.824000000002,4457.375999999998,32.999999999999986,2017-01,1
46428,SO - 0007332,2017-01-02,Blogspan Ltd,Wholesale,Product 3,6,5889.3,35335.8,4711.4400000000005,MI,Wayne County,Michigan,Midwest,42.33698,-83.27326,2642352.432,28268.640000000003,7067.16,20.0,2017-01,1
46429,SO - 0007607,2017-01-02,Snaptags Ltd,Distributor,Product 5,11,2860.9,31469.9,1316.0140000000001,IN,Hamilton County,Indiana,Midwest,40.04559,-86.0086,3925424.5420000004,14476.154000000002,16993.746,53.99999999999999,2017-01,1
46430,SO - 0008254,2017-01-02,Jabbercube Corp,Wholesale,Product 16,8,1031.8,8254.4,815.122,PA,Bucks County,Pennsylvania,Northeast,40.10622,-74.94364,2062061.144,6520.976,1733.424,21.000000000000004,2017-01,1
46431,SO - 0001891,2017-01-02,Skyvu Group,Distributor,Product 14,12,3926.2000000000003,47114.4,2669.8160000000003,CA,Orange County,California,West,33.52253,-117.70755,4028698.4090000005,32037.792,15076.608,32.0,2017-01,1
46432,SO - 0002187,2017-01-02,MEIJER Corp,Distributor,Product 18,11,3979.8,43777.8,1989.9,CA,Sacramento County,California,West,38.58157,-121.4944,2309499.045,21888.9,21888.9,50.0,2017-01,1
46433,SO - 0002601,2017-01-02,Voonyx Group,Wholesale,Product 20,12,6137.2,73646.4,3375.46,CA,Orange County,California,West,33.87224,-117.87034,2067108.1199999999,40505.520000000004,33140.87999999999,44.99999999999999,2017-01,1
46434,SO - 0005600,2017-01-02,Cadila Ltd,Wholesale,Product 25,7,971.5,6800.5,505.18,TX,Harrison County/Gregg County,Texas,South,32.51934,-94.76459,5342315.484,3536.26,3264.24,48.0,2017-01,1
46435,SO - 0005771,2017-01-02,Pacific Ltd,Wholesale,Product 2,7,1092.1000000000001,7644.700000000001,589.7340000000002,CA,Orange County,California,West,33.83529,-117.9145,3050087.565,4128.138000000001,3516.562,46.0,2017-01,1
46436,SO - 0006743,2017-01-02,Aromaticos Company,Wholesale,Product 2,5,6231.0,31155.0,4174.77,CA,Santa Barbara County,California,West,34.42083,-119.69819,3050087.565,20873.850000000002,10281.149999999998,32.99999999999999,2017-01,1
46437,SO - 0009768,2017-01-02,Eidel Corp,Wholesale,Product 3,5,2653.2000000000003,13266.000000000002,1698.0480000000002,WA,King County/Pierce County,Washington,West,47.30377,-122.21,2642352.432,8490.240000000002,4775.76,36.0,2017-01,1
46438,SO - 0008653,2017-01-02,Mylan Corp,Export,Product 13,5,1078.7,5393.5,841.3860000000001,CA,Santa Barbara County,California,West,34.95303,-120.43572,3720639.645,4206.93,1186.5699999999997,21.999999999999993,2017-01,1
46439,SO - 000491,2017-01-02,Mydo Corp,Wholesale,Product 15,11,2452.2000000000003,26974.200000000004,1912.7160000000003,FL,Lee County,Florida,South,26.33981,-81.7787,3299478.315,21039.876000000004,5934.3240000000005,21.999999999999996,2017-01,1
46440,SO - 0002388,2017-01-02,ALK-Abello Ltd,Wholesale,Product 6,8,2686.7000000000003,21493.600000000002,1423.9510000000002,FL,Leon County,Florida,South,30.43826,-84.28073,1672229.416,11391.608000000002,10101.992,47.0,2017-01,1
46441,SO - 0002621,2017-01-02,Golden Corp,Distributor,Product 6,6,978.2,5869.200000000001,665.176,CA,Alameda County,California,West,37.54827,-121.98857,1672229.416,3991.0560000000005,1878.1440000000002,32.0,2017-01,1
46442,SO - 0002866,2017-01-02,Kaymbo Company,Wholesale,Product 1,6,3939.6,23637.6,2600.136,CT,Fairfield County,Connecticut,Northeast,41.39482,-73.45401,3016489.209,15600.815999999999,8036.784,34.0,2017-01,1
46443,SO - 0003103,2017-01-02,Pfizer Corp,Distributor,Product 25,11,1695.1000000000001,18646.100000000002,966.207,AZ,Maricopa County,Arizona,West,33.37032,-112.58378,5342315.484,10628.277,8017.823000000002,43.00000000000001,2017-01,1
46444,SO - 0005390,2017-01-02,Colgate-Pa Group,Distributor,Product 8,10,676.7,6767.0,514.292,NC,Gaston County,North Carolina,South,35.26208,-81.1873,1085037.3290000001,5142.92,1624.08,24.0,2017-01,1
46445,SO - 0006381,2017-01-02,Cogidoo Company,Wholesale,Product 4,7,3102.1,21714.7,1271.8609999999999,OK,Garfield County,Oklahoma,South,36.39559,-97.87839,2885560.824,8903.026999999998,12811.673000000003,59.00000000000001,2017-01,1
46446,SO - 0007355,2017-01-02,Thoughtmix Ltd,Wholesale,Product 26,11,3671.6,40387.6,2459.972,GA,Fulton County/Cobb County,Georgia,South,34.03945,-84.35095,5685138.2700000005,27059.692000000003,13327.907999999996,32.99999999999999,2017-01,1
46447,SO - 0008619,2017-01-02,Natures Group,Wholesale,Product 2,7,201.0,1407.0,118.58999999999999,CA,San Diego County,California,West,32.71533,-117.15726,3050087.565,830.1299999999999,576.8700000000001,41.00000000000001,2017-01,1
46448,SO - 0009103,2017-01-02,Eidel Corp,Wholesale,Product 13,12,1721.9,20662.800000000003,843.731,TX,Caldwell County/Hays County/Guadalupe County,Texas,South,29.8729,-97.93773,3720639.645,10124.772,10538.028000000002,51.0,2017-01,1
46449,SO - 0009761,2017-01-02,Avamba Company,Wholesale,Product 20,5,1232.8,6164.0,875.2879999999999,CA,Kern County,California,West,35.76884,-119.24705,2067108.1199999999,4376.44,1787.5600000000004,29.00000000000001,2017-01,1
46450,SO - 0009952,2017-01-02,Skyvu Group,Distributor,Product 25,8,261.3,2090.4,154.167,NC,Cumberland County,North Carolina,South,35.05266,-78.87836,5342315.484,1233.336,857.0640000000001,41.0,2017-01,1
46451,SO - 0002901,2017-01-03,Twinte Group,Wholesale,Product 25,9,261.3,2351.7000000000003,198.58800000000002,CA,Santa Clara County,California,West,37.36883,-122.03635,5342315.484,1787.2920000000001,564.4080000000001,24.000000000000004,2017-01,1
46452,SO - 0003602,2017-01-03,Mydo Corp,Wholesale,Product 6,9,6023.3,54209.700000000004,4758.407,GA,DeKalb County,Georgia,South,33.85844,-84.3402,1672229.416,42825.663,11384.037000000004,21.000000000000004,2017-01,1
46453,SO - 0004487,2017-01-03,Fatz Group,Wholesale,Product 7,9,1045.2,9406.800000000001,522.6,IN,Marion County,Indiana,Midwest,39.8716,-86.01156,889737.555,4703.400000000001,4703.400000000001,50.0,2017-01,1
46454,SO - 000189,2017-01-03,Viva Ltd,Export,Product 12,9,3953.0,35577.0,3360.0499999999997,IL,Cook County/Kane County,Illinois,Midwest,42.06521,-88.153,1356976.996,30240.449999999997,5336.550000000003,15.000000000000007,2017-01,1
46455,SO - 0001627,2017-01-03,The Ltd,Distributor,Product 16,10,3959.7000000000003,39597.0,3009.3720000000003,CA,Sacramento County,California,West,38.61713,-121.32828,2062061.144,30093.72,9503.279999999999,23.999999999999996,2017-01,1
46456,SO - 0003272,2017-01-03,Zava Group,Distributor,Product 11,6,6438.7,38632.2,2575.48,MN,Hennepin County,Minnesota,Midwest,44.9133,-93.50329,1230458.484,15452.880000000001,23179.319999999996,60.0,2017-01,1
46457,SO - 0006032,2017-01-03,Zava Group,Distributor,Product 15,5,777.2,3886.0,349.74,IL,DuPage County,Illinois,Midwest,41.77193,-88.09209,3299478.315,1748.7,2137.3,55.00000000000001,2017-01,1
46458,SO - 0008909,2017-01-03,US Ltd,Wholesale,Product 20,5,1956.4,9782.0,1584.6840000000002,NC,Guilford County,North Carolina,South,36.07264,-79.79198,2067108.1199999999,7923.420000000001,1858.579999999999,18.99999999999999,2017-01,1
46459,SO - 0010169,2017-01-03,SUPERVALU Ltd,Wholesale,Product 1,11,2666.6,29332.6,1786.622,IN,Monroe County,Indiana,Midwest,39.11904,-86.51979,3016489.209,19652.842,9679.757999999998,32.99999999999999,2017-01,1
46460,SO - 0003164,2017-01-03,Deseret Group,Wholesale,Product 20,9,884.4,7959.599999999999,353.76,AL,Mobile County,Alabama,South,30.69436,-88.04305,2067108.1199999999,3183.84,4775.759999999999,60.0,2017-01,1
46461,SO - 0003406,2017-01-03,Zava Group,Wholesale,Product 6,7,6137.2,42960.4,4296.04,FL,Broward County,Florida,South,26.10037,-80.39977,1672229.416,30072.28,12888.120000000003,30.000000000000004,2017-01,1
46462,SO - 0005059,2017-01-03,Natures Group,Wholesale,Product 1,8,6090.3,48722.4,2618.829,WA,King County,Washington,West,47.47038,-122.34679,3016489.209,20950.632,27771.768,56.99999999999999,2017-01,1
46463,SO - 0008419,2017-01-03,Skyvu Group,Wholesale,Product 17,9,1038.5,9346.5,498.47999999999996,MN,Dakota County,Minnesota,Midwest,44.64969,-93.24272,2119616.824,4486.32,4860.18,52.0,2017-01,1
46464,SO - 0008391,2017-01-03,Zoonoodle Ltd,Wholesale,Product 5,7,3906.1,27342.7,3046.758,PA,Lackawanna County,Pennsylvania,Northeast,41.40897,-75.66241,3925424.5420000004,21327.305999999997,6015.394000000004,22.000000000000014,2017-01,1
46465,SO - 0001163,2017-01-03,Wordpedia Ltd,Distributor,Product 19,8,917.9,7343.2,431.41299999999995,MA,Middlesex County,Massachusetts,Northeast,42.41843,-71.10616,1645841.6,3451.3039999999996,3891.896,53.0,2017-01,1
46466,SO - 0006750,2017-01-03,NARS Group,Wholesale,Product 20,12,1775.5,21306.0,1083.055,MA,Middlesex County,Massachusetts,Northeast,42.3751,-71.10561,2067108.1199999999,12996.66,8309.34,39.0,2017-01,1
46467,SO - 0007819,2017-01-03,US Ltd,Wholesale,Product 15,10,1112.2,11122.0,912.004,MA,Hampden County,Massachusetts,Northeast,42.10148,-72.58981,3299478.315,9120.04,2001.9599999999991,17.99999999999999,2017-01,1
46468,SO - 0009969,2017-01-03,Tekfly Group,Export,Product 30,9,3973.1,35757.9,2661.9770000000003,CO,Adams County,Colorado,West,39.80832,-104.93387,1011609.684,23957.793,11800.107,32.99999999999999,2017-01,1
46469,SO - 000148,2017-01-03,Realbuzz Ltd,Wholesale,Product 13,10,6452.1,64521.0,5161.68,WI,Dane County,Wisconsin,Midwest,43.07305,-89.40123,3720639.645,51616.8,12904.199999999997,19.999999999999996,2017-01,1
46470,SO - 000696,2017-01-03,Remedy Ltd,Distributor,Product 26,11,3906.1,42967.1,1835.867,MI,Wayne County,Michigan,Midwest,42.36837,-83.35271,5685138.2700000005,20194.537,22772.563,53.0,2017-01,1
46471,SO - 0001559,2017-01-03,Jabbercube Corp,Wholesale,Product 21,7,1989.9,13929.300000000001,835.758,MA,Bristol County,Massachusetts,Northeast,41.63622,-70.93421,959899.2180000001,5850.3060000000005,8078.994000000001,57.99999999999999,2017-01,1
46472,SO - 0003181,2017-01-03,Skidoo Company,Wholesale,Product 3,7,2251.2000000000003,15758.400000000001,1710.9120000000003,CA,Los Angeles County,California,West,34.13973,-118.03534,2642352.432,11976.384000000002,3782.0159999999996,23.999999999999996,2017-01,1
46473,SO - 0004628,2017-01-03,Kazu Corp,Wholesale,Product 4,10,1192.6000000000001,11926.000000000002,918.3020000000001,IL,McLean County,Illinois,Midwest,40.53839,-88.98528,2885560.824,9183.02,2742.9800000000014,23.00000000000001,2017-01,1
46474,SO - 0005219,2017-01-03,Oba Company,Distributor,Product 25,11,3999.9,43998.9,3119.922,TX,Randall County/Potter County,Texas,South,35.19988,-101.8302,5342315.484,34319.142,9679.758000000002,22.000000000000004,2017-01,1
46475,SO - 0006313,2017-01-03,Sanum-Kehl Group,Export,Product 16,8,1822.4,14579.2,1530.816,CA,San Joaquin County,California,West,37.9577,-121.29078,2062061.144,12246.528,2332.6720000000005,16.000000000000004,2017-01,1
46476,SO - 0007008,2017-01-03,Fred's Company,Distributor,Product 19,7,234.5,1641.5,93.80000000000001,CA,Los Angeles County,California,West,34.08529,-117.9609,1645841.6,656.6000000000001,984.8999999999999,59.999999999999986,2017-01,1
46477,SO - 000692,2017-01-03,ALK-Abello Ltd,Export,Product 6,9,3731.9,33587.1,2276.459,TX,Rockwall County/Kaufman County/Collin County/Denton County/Dallas County,Texas,South,32.79333,-96.76651,1672229.416,20488.130999999998,13098.969000000001,39.00000000000001,2017-01,1
46478,SO - 000929,2017-01-03,General Company,Export,Product 15,9,261.3,2351.7000000000003,198.58800000000002,IL,Winnebago County,Illinois,Midwest,42.24868,-89.07452,3299478.315,1787.2920000000001,564.4080000000001,24.000000000000004,2017-01,1
